comment,label
"Nhạt nhẽo vãi",toxic
"Cái loại này chỉ giỏi đi khẩu nghiệp",toxic
"Bịa chuyện câu view",toxic
"Lại chiêu trò gây chú ý",toxic
"Đừng tưởng nổi tiếng là hay",toxic
"Cút về quê mà sống",toxic
"Chắc xài não cá vàng",toxic
"Đọc comment thấy tụt mood",toxic
"Cái loại đàn bà nhảm nhí",toxic
"Chó sủa còn có lý hơn mày nói",toxic
"Tao mà gặp ngoài đường tao táng vỡ mồm",toxic
"Ngu hết phần thiên hạ",toxic
"Làm màu thấy rõ",toxic
"Chắc bị thần kinh",toxic
"Sống như mày chắc xã hội loạn",toxic
"Đúng là một lũ dốt nát",toxic
"Chửi tụi này không phí lời",toxic
"Toàn một lũ ảo tưởng",toxic
"Bớt bốc phét lại đi",toxic
"Cái mặt như vừa bước ra từ hố rác",toxic
"Tư duy như đầu đất",toxic
"Chém gió giỏi hơn làm thật",toxic
"Thôi xóa app đi cho sạch mạng",toxic
"Đọc mà muốn đập cái điện thoại",toxic
"Chó còn biết phân biệt đúng sai",toxic
"Lạy cái độ kém hiểu biết",toxic
"Thấy ghét không chịu được",toxic
"Loại này mà cũng có fan?",toxic
"Ngu mà cứ tưởng mình thông minh",toxic
"Nghe mày nói mà tội cái não",toxic
"Bình luận mà như rặn từng chữ",toxic
"Nội dung rác, đăng chi vậy",toxic
"Bố mày đọc xong tức á",toxic
"Mày sống để làm gì vậy?",toxic
"Cái não để làm cảnh à?",toxic
"Đúng là sâu mọt mạng xã hội",toxic
"Lại một đứa ảo tưởng sức mạnh",toxic
"Mày tưởng mày quan trọng lắm à?",toxic
"Đầu óc có vấn đề",toxic
"Thể loại nịnh thần mới like bài này",toxic
"Bày đặt giả tri thức",toxic
"Một lũ não tôm",toxic
"Không có não thì đừng bình luận",toxic
"Lại còn đạo đức giả",toxic
"Xạo l* quá",toxic
"Loại này chỉ hợp ở chuồng",toxic
"Ai cho mày quyền phán xét?",toxic
"Xàm vãi chưởng",toxic
"Chém gió thượng thừa",toxic
"Mặt mày mà còn dám đăng ảnh",toxic
"Mấy đứa như mày chỉ làm xấu xã hội",toxic
"Ngứa mắt vãi chưởng",toxic
"Bọn này phải tẩy chay",toxic
"Lũ này sống dai như đỉa",toxic
"Rồi lại drama rẻ tiền",toxic
"Mày nghĩ mày là ai?",toxic
"Loại này nên cho out khỏi xã hội",toxic
"Tốn oxy",toxic
"Đúng kiểu sống không ai ưa",toxic
"Gặp ngoài tao đấm cho tỉnh",toxic
"Không biết nhục là gì à?",toxic
"Trình độ như học mẫu giáo",toxic
"Vừa vô học vừa vô duyên",toxic
"Cái dạng này thì thất bại cả đời",toxic
"Tưởng mình ngầu ai ngờ lố bịch",toxic
"Đúng là xấu người xấu nết",toxic
"Lên mạng chỉ để phá hoại",toxic
"Tao không chửi là tao hiền á",toxic
"Mày không đáng để nói chuyện",toxic
"Bài này rác thật sự",toxic
"Xàm chó chưa từng thấy",toxic
"Mày biết gì mà nói?",toxic
"Cái loại này nên bị block hết",toxic
"Sống như mày đúng là gánh nặng xã hội",toxic
"Tao thề chưa thấy ai ngu như mày",toxic
"Câm mẹ mồm lại đi",toxic
"Thấy mặt là muốn đấm",toxic
"Mày là nỗi nhục của loài người",toxic
"Đồ khôn nhà dại chợ",toxic
"Chỉ giỏi ăn hại",toxic
"Tưởng hay ho ai ngờ xàm l*n",toxic
"Đúng là phế vật",toxic
"Mày đang diễn hả?",toxic
"Đăng bài mà như vả vào mặt mình",toxic
"Mặt không biết nhục",toxic
"Cút đi cho đỡ chật mạng",toxic
"Cái đầu để trưng à?",toxic
"Tư duy như cục gạch",toxic
"Chắc bị thiếu i-ốt",toxic
"Nội dung này chỉ có mấy đứa dốt mới thích",toxic
"Không biết gì thì câm đi",toxic
"Loại này nên bị đào thải",toxic
"Bớt phát biểu ngu ngốc lại",toxic
"Cái giọng nghe phát ghét",toxic
"Đăng cái này chỉ tổ làm trò cười",toxic
"Tưởng sâu sắc ai ngờ sâu độc",toxic
"Lại còn bày đặt lên mặt dạy đời",toxic
"Ngu mà hay thể hiện",toxic
"Thích nổi tiếng bằng cách nhục mặt à?",toxic
"Nghĩ kỹ chưa rồi hãy đăng",toxic
"Rảnh háng lắm mới viết ra cái này",toxic
"Không ai thèm quan tâm đâu",toxic
"Thấy mà tức giùm cho cái mạng xã hội",toxic
"Bình luận cho có não tí đi",toxic
"Loại này sống để chửi",toxic
"Sao mày không biến mất luôn đi",toxic
"Nên cấm mày dùng mạng xã hội",toxic
"Không hiểu sao mày còn bạn",toxic
"Cái đứa này đúng kiểu lố lăng",toxic
"Thể loại ăn theo câu view",toxic
"Đúng là con giời",toxic
"Mày đang làm trò hề à?",toxic
"Không phải ai cũng muốn xem đâu",toxic
"Trình độ tiểu học cũng biết sai",toxic
"Cái loại này làm nhục ngành",toxic
"Tưởng thông minh mà lại ngu",toxic
"Chỉ giỏi khẩu nghiệp sau màn hình",toxic
"Không hiểu sao vẫn chưa bị report",toxic
"Làm màu riết rồi nhàm",toxic
"Cái thể loại không biết xấu hổ",toxic
"Thấy thôi là đã khó chịu",toxic
"Cái gì cũng đú theo trend, chẳng có não",toxic
"Tào lao vừa thôi má",toxic
"Mấy đứa như này mới làm xấu hình ảnh cộng đồng",toxic
"Đúng là kém duyên toàn tập",toxic
"Tự tin vào mặt mình quá rồi đó",toxic
"Comment dốt mà còn dài dòng",toxic
"Tư duy như con khỉ",toxic
"Cái kiểu làm màu rẻ tiền",toxic
"Loại này đáng bị report hàng loạt",toxic
"Đã ngu còn tỏ ra nguy hiểm",toxic
"Làm trò lố mà tưởng hay",toxic
"Thấy mày comment là tao auto lướt",toxic
"Sao không im luôn đi",toxic
"Đúng là đồ vô tích sự",toxic
"Bình luận như điên",toxic
"Cái mặt thấy là muốn chửi",toxic
"Mỗi lần mày đăng là một lần mạng ô nhiễm",toxic
"Chắc thiếu hơi người nên mới đăng vậy",toxic
"Chỉ có trẻ trâu mới tin mày",toxic
"Cái loại chuyên đi gào thét",toxic
"Tưởng sang chảnh hóa ra thất bại",toxic
"Đúng là rác content",toxic
"Chém gió level max",toxic
"Mày không nói còn đỡ quê",toxic
"Tào lao mà tưởng sâu sắc",toxic
"Cái loại giỏi làm màu",toxic
"Mạng xã hội giờ toàn rác như vầy",toxic
"Không cần đọc cũng biết là xàm",toxic
"Đứa nào cũng diễn như nhau",toxic
"Mày đăng để làm gì vậy?",toxic
"Không ai quan tâm mày đâu",toxic
"Nên xóa nick cho nhẹ đầu",toxic
"Còn não không mà nói câu đó?",toxic
"Tưởng cool ngầu mà như hề",toxic
"Không có não vẫn thích thể hiện",toxic
"Cái miệng hại cái thân chưa?",toxic
"Bình luận như trò hề",toxic
"Làm màu để được chú ý à?",toxic
"Comment để người ta chửi à?",toxic
"Chưa thấy ai xàm như mày",toxic
"Rồi lại khóc vì bị chửi thôi",toxic
"Mạng xã hội mà toàn đứa như mày thì nát",toxic
"Thấy nhức đầu khi đọc bài mày",toxic
"Sống lỗi vậy mà không biết nhục",toxic
"Cái loại này chỉ tổ bôi bác xã hội",toxic
"Góp phần làm mạng xã hội độc hại",toxic
"Chắc rảnh lắm mới đăng vậy",toxic
"Mỗi lần lên mạng là thấy mày làm trò",toxic
"Cạn lời với độ dốt của mày",toxic
"Video hay quá, cảm ơn bạn đã chia sẻ",non_toxic
"Rất hữu ích, mình đã áp dụng thành công",non_toxic
"Bạn làm nội dung có tâm quá",non_toxic
"Xem mà thấy ấm lòng",non_toxic
"Cảm ơn vì đã lan toả điều tích cực",non_toxic
"Thật tuyệt vời, tiếp tục phát huy nhé!",non_toxic
"Clip rất đẹp, chỉnh chu từng chi tiết",non_toxic
"Mình học được rất nhiều từ bạn",non_toxic
"Lời chia sẻ này thực sự chạm đến mình",non_toxic
"Bạn thật giỏi, chúc bạn ngày càng thành công",non_toxic
"Một nội dung đáng suy ngẫm",non_toxic
"Đọc mà thấy nhẹ lòng hẳn",non_toxic
"Bạn là nguồn cảm hứng cho nhiều người",non_toxic
"Rất đáng để học hỏi",non_toxic
"Làm video như này đi, chất lượng lắm",non_toxic
"Bạn truyền năng lượng tích cực ghê",non_toxic
"Bài viết này khiến mình cười cả ngày",non_toxic
"Lời lẽ nhẹ nhàng, truyền cảm",non_toxic
"Mong bạn luôn giữ được tinh thần này",non_toxic
"Giọng bạn dễ nghe và cuốn hút",non_toxic
"Bạn có khiếu hài hước thật",non_toxic
"Đây chính xác là điều mình cần",non_toxic
"Cảm ơn bạn vì đã dành thời gian chia sẻ",non_toxic
"Nội dung sáng tạo và đầu tư",non_toxic
"Chúc bạn luôn giữ vững phong độ",non_toxic
"Rất mong chờ video tiếp theo của bạn",non_toxic
"Bạn xứng đáng có nhiều người theo dõi hơn",non_toxic
"Lời bình luận rất sâu sắc",non_toxic
"Đây là lý do mình luôn theo dõi bạn",non_toxic
"Nội dung sạch và văn minh",non_toxic
"Chia sẻ rất nhân văn",non_toxic
"Đúng lúc đang cần động lực, cảm ơn bạn",non_toxic
"Bạn làm mình muốn cố gắng hơn",non_toxic
"Quá chuẩn, không cần chỉnh",non_toxic
"Một lời nhắn gửi ý nghĩa",non_toxic
"Tuyệt vời ông mặt trời",non_toxic
"Thật đáng để lưu lại",non_toxic
"Một góc nhìn rất thú vị",non_toxic
"Bạn có cách trình bày rất cuốn hút",non_toxic
"Mỗi video đều mang lại giá trị",non_toxic
"Bạn xứng đáng được công nhận",non_toxic
"Thật tự hào khi thấy người Việt giỏi như vậy",non_toxic
"Cách nói chuyện rất dễ chịu",non_toxic
"Một tấm gương sáng cho cộng đồng",non_toxic
"Ngưỡng mộ sự nỗ lực của bạn",non_toxic
"Clip chill thật sự luôn",non_toxic
"Xem xong thấy yêu đời hơn",non_toxic
"Góc quay và màu sắc rất đẹp",non_toxic
"Bạn có gu thẩm mỹ tốt quá",non_toxic
"Tâm huyết và sáng tạo",non_toxic
"Cảm ơn bạn đã lan toả sự yêu thương",non_toxic
"Nội dung bạn làm rất đáng tiền",non_toxic
"Bạn luôn mang đến bất ngờ",non_toxic
"Một thế giới quan đáng học hỏi",non_toxic
"Bạn có tố chất của một nhà sáng tạo",non_toxic
"Từng chi tiết đều rất chăm chút",non_toxic
"Nội dung có chiều sâu",non_toxic
"Bạn là lý do mình quay lại nền tảng này",non_toxic
"Nội dung này nên được lan truyền rộng rãi",non_toxic
"Bạn có trái tim ấm áp",non_toxic
"Lời kể rất chân thành",non_toxic
"Bạn có tài năng thực sự",non_toxic
"Mình thấy lòng nhẹ nhàng sau khi xem xong",non_toxic
"Một sự đầu tư đáng khen",non_toxic
"Không uổng công theo dõi",non_toxic
"Bạn có tâm và có tầm",non_toxic
"Thật khó để không yêu thích nội dung này",non_toxic
"Mỗi lần xem là một trải nghiệm dễ chịu",non_toxic
"Cách bạn chia sẻ rất gần gũi",non_toxic
"Làm thêm nhiều nội dung như này nha bạn",non_toxic
"Xem mà muốn khóc luôn",non_toxic
"Bạn là ánh sáng giữa mạng xã hội tiêu cực",non_toxic
"Mình đã học được nhiều điều từ video của bạn",non_toxic
"Bạn làm mình thấy cuộc sống còn nhiều điều tốt đẹp",non_toxic
"Từng câu từng chữ đều đáng suy ngẫm",non_toxic
"Một bài học quý giá",non_toxic
"Bạn giúp mình lấy lại tinh thần",non_toxic
"Truyền cảm hứng tuyệt vời",non_toxic
"Mỗi lần xem bạn là một lần học được điều mới",non_toxic
"Bạn là minh chứng cho việc sống tử tế",non_toxic
"Không chê vào đâu được",non_toxic
"Giá như ai cũng suy nghĩ như bạn",non_toxic
"Mình sẽ chia sẻ video này với bạn bè",non_toxic
"Bạn thật là người có tâm",non_toxic
"Mong bạn luôn giữ được nguồn năng lượng này",non_toxic
"Chất lượng tuyệt vời",non_toxic
"Tự hào vì bạn là người Việt Nam",non_toxic
"Thích cách bạn dàn dựng nội dung",non_toxic
"Clip ngắn mà đầy ý nghĩa",non_toxic
"Bạn làm mình tin vào điều tốt đẹp",non_toxic
"Thật nhân văn",non_toxic
"Mỗi câu nói đều có trọng lượng",non_toxic
"Thật đáng quý",non_toxic
"Rất nên được lan tỏa",non_toxic
"Nội dung bạn làm có giá trị thực sự",non_toxic
"Một màu sắc mới cho cộng đồng mạng",non_toxic
"Không cần ồn ào nhưng vẫn chạm đến trái tim",non_toxic
"Bạn giúp mình nghĩ khác đi",non_toxic
"Mình thấy mình trong câu chuyện bạn kể",non_toxic
"Bạn như một người bạn đồng hành tinh thần",non_toxic
"Nội dung tử tế luôn sống lâu",non_toxic
"Chúc bạn luôn sáng tạo như thế",non_toxic
"Một góc nhìn mới mẻ",non_toxic
"Không bao giờ thất vọng khi xem bạn",non_toxic
"Bạn có khả năng kết nối mọi người rất tốt",non_toxic
"Giọng kể của bạn làm mình rơi nước mắt",non_toxic
"Sáng tạo nhưng vẫn giữ bản sắc riêng",non_toxic
"Rất đáng ngưỡng mộ",non_toxic
"Sự tử tế được lan toả từ bạn",non_toxic
"Bạn như liều vitamin mỗi ngày",non_toxic
"Nội dung gọn gàng, tinh tế",non_toxic
"Học hỏi được nhiều từ cách bạn sống",non_toxic
"Bạn có phong cách riêng biệt",non_toxic
"Cách bạn nhìn cuộc sống thật tích cực",non_toxic
"Bạn là điều dễ thương nhất hôm nay",non_toxic
"Không ngờ mạng xã hội lại có nội dung như vậy",non_toxic
"Bạn nên có nhiều người biết đến hơn nữa",non_toxic
"Làm thêm nhiều video kiểu này nha bạn",non_toxic
"Mỗi câu chuyện bạn kể đều truyền cảm hứng",non_toxic
"Xem là muốn sống tốt hơn",non_toxic
"Cảm ơn vì đã tồn tại và tạo ra nội dung này",non_toxic
"Mong bạn luôn thành công",non_toxic
"Một năng lượng tích cực khó tin",non_toxic
"Bạn chính là lý do mình vẫn còn tin vào cộng đồng",non_toxic
"Không phải ai cũng có thể tạo được sự tử tế như bạn",non_toxic
Sĩ quan này rất thẳng thắn và mạnh mẽ. Tôi hy vọng Biden sẽ trở thành tân tổng thống của Hoa Kỳ,non_toxic
"Hở ra 1 cái là kêu gọi hi sinh kinh tế, làm gì thì cũng phải hợp lí , chống dịch là để sống nhưng ko có kinh tế thì sống kiểu gì",non_toxic
tuổi thơ mình gắn liền với hai tác phẩm. dế mèn phiêu lưu ký và bẩy viên ngọc rồng. ngoài ra vẫn còn một số tác phẩm khác. cái tết của mèo con. giờ già quá rùi,non_toxic
Lần đầu tiên quê hương Ninh Bình của mình có thí sinh vào chung kết. Chúc cháu thành công mang vinh quang về,non_toxic
"Đúng là để Messi tự do sẽ rất nguy hiểm. Đối thủ cứ lo kèm Messi. Mà quên rằng trái bóng không nhất thiết phải qua chân Messi nữa, mà nó sẽ đến vị trí của cầu thủ nào đang chiếm được khoảng trống. Bóng đá hiện đại là thế. Chúc Mừng Barca đã đi đúng hướng. Chúc Mừng Messi đã trút bỏ áp lực.",non_toxic
Chúc mừng và cảm ơn các bạn. Hy vọng Netflix sẽ mua bản quyền phát hành online toàn thế giới phim RÒM để tụi mình có thể thưởng thức.,non_toxic
Vậy mà ở London thì người dân lại biểu tình đòi tháo khẩu trang ra.,non_toxic
Tôi không thể để cậu ấy rời CLB. Messi là cầu thủ hay nhất mọi thời đại và đội bóng cần cậu ấy. Sở hữu Messi là một sự đảm bảo thành công.,non_toxic
"Học đại học còn có mấy bạn vô ý thức, quan trọng con người thôi",toxic
"Quê hương đất Quảng rất tự hào và kiên cường trong mọi thời kỳ, sinh ra những anh kiệt làm rạng rỡ đất Việt. Cảm ơn các tác giả.",non_toxic
"1. Tham gia bảo hiểm lúc chưa cần, vì lúc cần rồi thì ko tham gia đc nữa, nếu đc thì phí cũng rất cao.2. Tham gia càng sớm phí đóng càng thấp3. Lúc nằm 1 chỗ, đóng bỉm mới thấy có bảo hiểm nó lợi hơn ở chỗ nào",non_toxic
Vậy thì luật này vẫn chưa có sức dăn đeĐã là luật thì sao không thực hiện đúng.Dù đó là ai? Và có thế nào thì cũng phải chịu chứ. Nếu giam nó 6 tháng rồi tháng thứ ba lại vờ vĩnh bị ốm yếu thế là xong à .,toxic
"ngoại ngữ như tiếng mẹ đẻ thôi,",non_toxic
"Thắng là vui rồi! Đội bóng lớn phải là đội không những phải biết vùi dập đối thủ trong một ngày đẹp trời mà còn phải biết kiếm được 3 điểm trong một ngày mình chơi không tốt! Chúc mừng gooner, tôi tin là năm nay với những con người này, Arsenal sẽ tạo ra một điều đặc biệt!",non_toxic
"Trong cuộc sống của con người, tôi cũng rất ghét những đứa con to xác nhưng luôn lười biếng và ăn bám trên thân xác những cha mẹ gầy guộc.",toxic
Mấy kiểu này ở Việt Nam bán lâu rồi,non_toxic
Các thanh thiếu niên ngày càng dễ dãi nhưng thiếu kiến thức phòng tránh hoặc quá chủ quan dẫn đến những hệ lụy không tốt.,non_toxic
"Cuộc sống còn nhiều khó khăn thiết nghĩ bà con không nên sinh đẻ nhiều quá, vừa không lo đủ miếng ăn, vừa không đảm bảo việc học hành cho con cái, khổ từ đời cha đến đời con thôi.",non_toxic
"Không phải nặng,chỉ đơn giản các bé không học trước lớp 1 thì sẽ không học kịp nổi chương trình mà thôi",non_toxic
"Có xem một tập trong thời gian đó, hình như đang học lớp 5,6 gì thì phải , tui sinh 1984 cảm giác truyện rất ok nhưng thời đó do còn nhỏ nên ít đọc truyện chữ",non_toxic
Không mợ thì chợ vẫn đông,non_toxic
"Khả năng bên trong lõi mặt trời có sự sống cấp cao? ngược lại với trái đất, trong lõi của mặt trời lại rất át mẻ",non_toxic
Khả năng 99% Trump vẫn sẽ được tín nhiệm và tái đắc cử.,non_toxic
Phải sửa chữa thôi bởi vì những vật trưng bầy mỹ thuật trong tòa nhà ko còn mỹ thuật nữa thì sẽ ko phải là viện bảo tàng mỹ thuật.,non_toxic
Lành bệnh cố gắng kiếp việc an toàn làm kiếm tiền nhé anh chị. Hãy nhớ con cái thà chịu gd thiếu thốn vật chất chứ các con không chịu cảnh thiếu thốn cha - mẹ đâu.,non_toxic
"Tốt nhất hãy gửi bé vào 1 cơ sở thiện nguyện nào đó ít nhất bé sẽ có đc 1 cuộc sống như 1 con người, được ăn được học",non_toxic
Đọc báo thấy Binden hơn Trump tất cả các mặt. Từ tấm lòng nhân ái cho đến sự ủng hộ của tất cả,non_toxic
Đề nghị các bác trả lại tên cho em là Trái Nước nhá.......,non_toxic
Phải làm gắt gao ngay từ sân bay kẻo ra cộng đồng thật nguy hiểm :(,non_toxic
Cách ly vĩnh viễn khỏi xã hội. Mong các cháu lớn và lên xóa sạch kỹ ức đau khổ này,toxic
"Em cũng đang phân vân kona bản đặc biệt và seltos 1.4 pre. So vớii kona e thấy seltos thiếu phanh BA, hệ thống chống trượt thân xe, hỗ trợ xuống dốc, cảnh báo điểm mù và cảm biến áp xuất lốp. Toàn công nghệ an toàn mà Thaco lại cắt đi.",non_toxic
"Nếu không tìm hiểu về trang bị hay so sánh thì seltos luxury ngay và luôn: Thiết kế đẹp, rộng hơn, hàng ghế sau rộng hơn có điều hòa phía sau). Nếu đã tìm hiểu và so sánh thì sẽ rất là khó chọn, theo mình thì 50/50. nhưng mình sẽ chọn Kona (hơn về an toàn)Phát biểu của người chưa có xe xD",non_toxic
Wakanda Forever! Di sản của anh sẽ tiếp tục được tiếp nối siêu anh hùng của người da màu.,non_toxic
Cá to quá nên thả nó về tự nhiên đi anh.,non_toxic
"Nhà em đang chạy cả Kia và Hyundai nên đánh giá là chất lượng lắp ráp của Kia vẫn dưới Hyundai, nhựa của Kia lắp lởm rất hay bị cọt kẹt, đi Hyundai vẫn thấy chắc xe hơn",non_toxic
Quan trọng là linh kiện thay thế sau khi hết hạn bảo hành.cái này thì bạn chọn fadil là ok nhất.,non_toxic
Chuyện ly kỳ..!,non_toxic
Nhật hàn thì cũng vn lắp ráp thôi. Thế giới phẳng rồi. Khoảng cách không còn xa nhau đâu.,non_toxic
một sự cố hy hữu,non_toxic
"accent cụ nhé. Nhìn xe kiểu Châu âu, dáng đẹp, công nghệ tốt",non_toxic
nên cho phép chọn đóng 1 lần hoặc nhiều lần để người dân lựa chọn,non_toxic
"Chúc anh và cháu thật nhiều sức khỏe, hạnh phúc để đạt được thành quả trong cuộc sống và học tập của cháu.",non_toxic
Cứ VIOS mà múc bác. Toyota number one. Rất đẳng cấp. ,non_toxic
"Tôi ủng hộ ông Trump, mong ông được thêm một nhiệm kỳ nữa",non_toxic
"quá coi thường pháp luật, hôm nay nhìn kỹ mới thấy trước giờ toàn uống bia giả, hệ thống phân phối của nó phải nói quá dữ",non_toxic
"Khi bạn là cá sấu nước mặn nhưng sống chung và chơi chung hội với cá heo quá lâu thành ra thế, hết biết, điều này cho thấy bạn bè ảnh hưởng đến bạn ra sao ?!",non_toxic
Cầu mong mọi người bình an! Việt Nam cố lên! Đất nước chiến thắng!,non_toxic
Không hiểu sao thành phố bố trí khu tạm cư cho người dân chờ đền bù giải tỏa lại là những nơi này.,non_toxic
Định nghĩa diện tích là một nửa tích của chiều cao và chiều dài cạnh đáy.,non_toxic
Lúc đầu xe bồn chạy khá chậm nhưng không hiểu vì sao lại không dừng khi đèn đỏ mà chạy luôn vậy,non_toxic
"Vãi thật sự, không hiểu sao tồn tại được",toxic
"Làm màu mà tưởng ngầu, cl thật",toxic
"Cái đéo gì đây?",toxic
"Xàm vãi",toxic
"Mặt dày như tấm thớt",toxic
"Chửi mà còn thấy nhẹ",toxic
"Nói ngu như chó sủa",toxic
"Nội dung như cặc",toxic
"Thể loại sống ảo rẻ tiền",toxic
"Đăng cái đm gì không hiểu nổi",toxic
"Tự nhục hay gì mà đăng hoài",toxic
"Ngu còn hay nói",toxic
"Làm clip như lồn",toxic
"Tưởng hài ai ngờ nhảm l*n",toxic
"Chả hiểu có não không?",toxic
"Tự tin vãi",toxic
"Mày nên câm mồm vĩnh viễn",toxic
"Đứa nào cũng thể hiện, mệt vl",toxic
